id,game_type,game_args_p,game_args_v,game_args_c,game_args_product_price,game_args_is_seller_know_cv,game_args_seller_message_type,game_args_is_myopic,game_args_total_rounds,game_args_is_buyer_know_p,game_args_allow_buyer_message,config_type,title,games,payment_per_hour,human_is_player,time (min),participation_fee,mean_bonus,description,qualification
219,persuasion,0.333333333,4.0,0,10000,False,text,False,20,True,False,random,Simple Game A,5,12,2,4,0.4,0.8,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_0
220,persuasion,0.333333333,4.0,0,10000,False,binary,True,20,True,False,random,Simple Game A,5,12,1,4,0.4,0.8,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_1
250,persuasion,0.5,1.2,0,100,False,text,False,20,True,False,random,Simple Game A,5,10,1,6,0.6000000000000001,0.6000000000000001,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_2
251,persuasion,0.5,1.2,0,100,False,text,False,20,True,False,random,Simple Game A,5,10,2,4,0.4,0.4,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_3
256,persuasion,0.5,1.2,0,10000,True,text,True,20,True,False,variant,Simple Game A,8,12,1,6,0.6000000000000001,1.2000000000000002,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_4
258,persuasion,0.5,1.2,0,10000,True,text,False,20,True,False,variant,Simple Game A,8,12,1,6,0.6000000000000001,1.2000000000000002,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_0
259,persuasion,0.5,1.2,0,10000,True,text,False,20,True,False,variant,Simple Game A,8,12,2,4,0.4,0.8,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_1
304,persuasion,0.5,1.25,0,10000,True,text,True,20,True,False,variant,Simple Game A,8,12,1,6,0.6000000000000001,1.2000000000000002,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_2
306,persuasion,0.5,1.25,0,10000,True,text,False,20,True,False,variant,Simple Game A,8,12,1,6,0.6000000000000001,1.2000000000000002,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_3
307,persuasion,0.5,1.25,0,10000,True,text,False,20,True,False,variant,Simple Game A,8,12,2,4,0.4,0.8,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_4
336,persuasion,0.5,2.0,0,100,True,text,True,20,True,False,variant,Simple Game A,8,10,1,6,0.6000000000000001,0.6000000000000001,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_0
338,persuasion,0.5,2.0,0,100,True,text,False,20,True,False,variant,Simple Game A,8,10,1,6,0.6000000000000001,0.6000000000000001,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_1
339,persuasion,0.5,2.0,0,100,True,text,False,20,True,False,variant,Simple Game A,8,10,2,4,0.4,0.4,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_2
352,persuasion,0.5,2.0,0,10000,True,text,True,20,True,False,main,Simple Game A,30,12,1,6,0.6000000000000001,1.2000000000000002,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_3
354,persuasion,0.5,2.0,0,10000,True,text,False,20,True,False,main,Simple Game A,30,12,1,6,0.6000000000000001,1.2000000000000002,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_4
355,persuasion,0.5,2.0,0,10000,True,text,False,20,True,False,main,Simple Game A,30,12,2,4,0.4,0.8,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_0
356,persuasion,0.5,2.0,0,10000,True,binary,True,20,True,False,variant,Simple Game A,8,12,1,4,0.4,0.8,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_1
358,persuasion,0.5,2.0,0,10000,True,binary,False,20,True,False,variant,Simple Game A,8,12,1,4,0.4,0.8,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_2
359,persuasion,0.5,2.0,0,10000,True,binary,False,20,True,False,variant,Simple Game A,8,12,2,4,0.4,0.8,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_3
360,persuasion,0.5,2.0,0,10000,False,text,True,20,True,False,variant,Simple Game A,8,12,1,6,0.6000000000000001,1.2000000000000002,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_4
362,persuasion,0.5,2.0,0,10000,False,text,False,20,True,False,variant,Simple Game A,8,12,1,6,0.6000000000000001,1.2000000000000002,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_0
363,persuasion,0.5,2.0,0,10000,False,text,False,20,True,False,variant,Simple Game A,8,12,2,4,0.4,0.8,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_1
368,persuasion,0.5,2.0,0,1000000,True,text,True,20,True,False,variant,Simple Game A,8,15,1,6,0.6000000000000001,1.7999999999999998,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_2
370,persuasion,0.5,2.0,0,1000000,True,text,False,20,True,False,variant,Simple Game A,8,15,1,6,0.6000000000000001,1.7999999999999998,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_3
371,persuasion,0.5,2.0,0,1000000,True,text,False,20,True,False,variant,Simple Game A,8,15,2,4,0.4,1.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_4
384,persuasion,0.5,3.0,0,100,True,text,True,20,True,False,random,Simple Game A,5,10,1,6,0.6000000000000001,0.6000000000000001,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_0
400,persuasion,0.5,3.0,0,10000,True,text,True,20,True,False,variant,Simple Game A,8,12,1,6,0.6000000000000001,1.2000000000000002,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_1
402,persuasion,0.5,3.0,0,10000,True,text,False,20,True,False,variant,Simple Game A,8,12,1,6,0.6000000000000001,1.2000000000000002,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_2
403,persuasion,0.5,3.0,0,10000,True,text,False,20,True,False,variant,Simple Game A,8,12,2,4,0.4,0.8,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_3
404,persuasion,0.5,3.0,0,10000,True,binary,True,20,True,False,random,Simple Game A,5,12,1,4,0.4,0.8,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_4
422,persuasion,0.5,3.0,0,1000000,True,binary,False,20,True,False,random,Simple Game A,5,15,1,4,0.4,1.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_0
423,persuasion,0.5,3.0,0,1000000,True,binary,False,20,True,False,random,Simple Game A,5,15,2,4,0.4,1.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_1
442,persuasion,0.5,4.0,0,100,False,text,False,20,True,False,random,Simple Game A,5,10,1,6,0.6000000000000001,0.6000000000000001,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_2
443,persuasion,0.5,4.0,0,100,False,text,False,20,True,False,random,Simple Game A,5,10,2,4,0.4,0.4,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_3
448,persuasion,0.5,4.0,0,10000,True,text,True,20,True,False,variant,Simple Game A,8,12,1,6,0.6000000000000001,1.2000000000000002,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_4
450,persuasion,0.5,4.0,0,10000,True,text,False,20,True,False,variant,Simple Game A,8,12,1,6,0.6000000000000001,1.2000000000000002,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_0
451,persuasion,0.5,4.0,0,10000,True,text,False,20,True,False,variant,Simple Game A,8,12,2,4,0.4,0.8,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_1
524,persuasion,0.8,1.2,0,1000000,False,binary,True,20,True,False,random,Simple Game A,5,15,1,4,0.4,1.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_2
546,persuasion,0.8,1.25,0,10000,True,text,False,20,True,False,random,Simple Game A,5,12,1,6,0.6000000000000001,1.2000000000000002,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_3
547,persuasion,0.8,1.25,0,10000,True,text,False,20,True,False,random,Simple Game A,5,12,2,4,0.4,0.8,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_4
548,persuasion,0.8,1.25,0,10000,True,binary,True,20,True,False,random,Simple Game A,5,12,1,4,0.4,0.8,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_0
566,persuasion,0.8,1.25,0,1000000,True,binary,False,20,True,False,random,Simple Game A,5,15,1,4,0.4,1.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_1
567,persuasion,0.8,1.25,0,1000000,True,binary,False,20,True,False,random,Simple Game A,5,15,2,4,0.4,1.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_2
588,persuasion,0.8,2.0,0,100,False,binary,True,20,True,False,random,Simple Game A,5,10,1,4,0.4,0.4,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_3
592,persuasion,0.8,2.0,0,10000,True,text,True,20,True,False,variant,Simple Game A,8,12,1,6,0.6000000000000001,1.2000000000000002,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_4
594,persuasion,0.8,2.0,0,10000,True,text,False,20,True,False,variant,Simple Game A,8,12,1,6,0.6000000000000001,1.2000000000000002,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_0
595,persuasion,0.8,2.0,0,10000,True,text,False,20,True,False,variant,Simple Game A,8,12,2,4,0.4,0.8,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_1
