id,game_type,player_1_args_delta,player_2_args_delta,game_args_money_to_divide,game_args_max_rounds,game_args_complete_information,game_args_messages_allowed,config_type,time (min),title,games,payment_per_hour,human_is_player,participation_fee,mean_bonus,description,qualification
184,bargaining,1,0.8,1000000,12,TRUE,TRUE,random,1,Simple Game C,15,15,1,0.1,0.3,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_1
185,bargaining,1,0.8,1000000,12,TRUE,TRUE,random,1,Simple Game C,15,15,2,0.1,0.3,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_2
208,bargaining,0.95,1,10000,99,TRUE,TRUE,variant,1,Simple Game C,25,12,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_3
209,bargaining,0.95,1,10000,99,TRUE,TRUE,variant,1,Simple Game C,25,12,2,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_4
216,bargaining,0.95,1,10000,12,TRUE,TRUE,random,1,Simple Game C,15,12,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_0
217,bargaining,0.95,1,10000,12,TRUE,TRUE,random,1,Simple Game C,15,12,2,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_1
238,bargaining,0.95,1,1000000,12,FALSE,FALSE,random,1,Simple Game C,15,15,1,0.1,0.3,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_2
239,bargaining,0.95,1,1000000,12,FALSE,FALSE,random,1,Simple Game C,15,15,2,0.1,0.3,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_3
240,bargaining,0.95,0.95,100,99,TRUE,TRUE,variant,1,Simple Game C,25,10,1,0.1,0.1,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_4
241,bargaining,0.95,0.95,100,99,TRUE,TRUE,variant,1,Simple Game C,25,10,2,0.1,0.1,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_0
244,bargaining,0.95,0.95,100,99,FALSE,TRUE,random,1,Simple Game C,15,10,1,0.1,0.1,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_1
245,bargaining,0.95,0.95,100,99,FALSE,TRUE,random,1,Simple Game C,15,10,2,0.1,0.1,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_2
256,bargaining,0.95,0.95,10000,99,TRUE,TRUE,main,1,Simple Game C,50,12,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_3
257,bargaining,0.95,0.95,10000,99,TRUE,TRUE,main,1,Simple Game C,50,12,2,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_4
258,bargaining,0.95,0.95,10000,99,TRUE,FALSE,variant,1,Simple Game C,25,12,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_0
259,bargaining,0.95,0.95,10000,99,TRUE,FALSE,variant,1,Simple Game C,25,12,2,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_1
260,bargaining,0.95,0.95,10000,99,FALSE,TRUE,variant,1,Simple Game C,25,12,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_2
261,bargaining,0.95,0.95,10000,99,FALSE,TRUE,variant,1,Simple Game C,25,12,2,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_3
264,bargaining,0.95,0.95,10000,12,TRUE,TRUE,variant,1,Simple Game C,25,12,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_4
265,bargaining,0.95,0.95,10000,12,TRUE,TRUE,variant,1,Simple Game C,25,12,2,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_0
272,bargaining,0.95,0.95,1000000,99,TRUE,TRUE,variant,1,Simple Game C,25,15,1,0.1,0.3,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_1
273,bargaining,0.95,0.95,1000000,99,TRUE,TRUE,variant,1,Simple Game C,25,15,2,0.1,0.3,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_2
290,bargaining,0.95,0.9,100,99,TRUE,FALSE,random,1,Simple Game C,15,10,1,0.1,0.1,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_3
291,bargaining,0.95,0.9,100,99,TRUE,FALSE,random,1,Simple Game C,15,10,2,0.1,0.1,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_4
304,bargaining,0.95,0.9,10000,99,TRUE,TRUE,variant,1,Simple Game C,25,12,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_0
305,bargaining,0.95,0.9,10000,99,TRUE,TRUE,variant,1,Simple Game C,25,12,2,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_1
342,bargaining,0.95,0.8,100,99,FALSE,FALSE,random,1,Simple Game C,15,10,1,0.1,0.1,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_2
343,bargaining,0.95,0.8,100,99,FALSE,FALSE,random,1,Simple Game C,15,10,2,0.1,0.1,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_3
352,bargaining,0.95,0.8,10000,99,TRUE,TRUE,variant,1,Simple Game C,25,12,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_4
353,bargaining,0.95,0.8,10000,99,TRUE,TRUE,variant,1,Simple Game C,25,12,2,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_0
398,bargaining,0.9,1,100,12,FALSE,FALSE,random,1,Simple Game C,15,10,1,0.1,0.1,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_1
399,bargaining,0.9,1,100,12,FALSE,FALSE,random,1,Simple Game C,15,10,2,0.1,0.1,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_2
400,bargaining,0.9,1,10000,99,TRUE,TRUE,variant,1,Simple Game C,25,12,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_3
401,bargaining,0.9,1,10000,99,TRUE,TRUE,variant,1,Simple Game C,25,12,2,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_4
404,bargaining,0.9,1,10000,99,FALSE,TRUE,random,1,Simple Game C,15,12,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_0
405,bargaining,0.9,1,10000,99,FALSE,TRUE,random,1,Simple Game C,15,12,2,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_1
448,bargaining,0.9,0.95,10000,99,TRUE,TRUE,variant,1,Simple Game C,25,12,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_2
449,bargaining,0.9,0.95,10000,99,TRUE,TRUE,variant,1,Simple Game C,25,12,2,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_3
456,bargaining,0.9,0.95,10000,12,TRUE,TRUE,random,1,Simple Game C,15,12,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_4
457,bargaining,0.9,0.95,10000,12,TRUE,TRUE,random,1,Simple Game C,15,12,2,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_0
496,bargaining,0.9,0.9,10000,99,TRUE,TRUE,variant,1,Simple Game C,25,12,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_1
497,bargaining,0.9,0.9,10000,99,TRUE,TRUE,variant,1,Simple Game C,25,12,2,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_2
512,bargaining,0.9,0.9,1000000,99,TRUE,TRUE,random,1,Simple Game C,15,15,1,0.1,0.3,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_3
513,bargaining,0.9,0.9,1000000,99,TRUE,TRUE,random,1,Simple Game C,15,15,2,0.1,0.3,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_4
544,bargaining,0.9,0.8,10000,99,TRUE,TRUE,variant,1,Simple Game C,25,12,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_0
545,bargaining,0.9,0.8,10000,99,TRUE,TRUE,variant,1,Simple Game C,25,12,2,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_1
592,bargaining,0.8,1,10000,99,TRUE,TRUE,variant,1,Simple Game C,25,12,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_2
593,bargaining,0.8,1,10000,99,TRUE,TRUE,variant,1,Simple Game C,25,12,2,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_3
622,bargaining,0.8,1,1000000,12,FALSE,FALSE,random,1,Simple Game C,15,15,1,0.1,0.3,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_4
623,bargaining,0.8,1,1000000,12,FALSE,FALSE,random,1,Simple Game C,15,15,2,0.1,0.3,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_0
626,bargaining,0.8,0.95,100,99,TRUE,FALSE,random,1,Simple Game C,15,10,1,0.1,0.1,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_1
627,bargaining,0.8,0.95,100,99,TRUE,FALSE,random,1,Simple Game C,15,10,2,0.1,0.1,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_2
640,bargaining,0.8,0.95,10000,99,TRUE,TRUE,variant,1,Simple Game C,25,12,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_3
641,bargaining,0.8,0.95,10000,99,TRUE,TRUE,variant,1,Simple Game C,25,12,2,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_4
664,bargaining,0.8,0.95,1000000,12,TRUE,TRUE,random,1,Simple Game C,15,15,1,0.1,0.3,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_0
665,bargaining,0.8,0.95,1000000,12,TRUE,TRUE,random,1,Simple Game C,15,15,2,0.1,0.3,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_1
688,bargaining,0.8,0.9,10000,99,TRUE,TRUE,variant,1,Simple Game C,25,12,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_2
689,bargaining,0.8,0.9,10000,99,TRUE,TRUE,variant,1,Simple Game C,25,12,2,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_3
710,bargaining,0.8,0.9,1000000,99,FALSE,FALSE,random,1,Simple Game C,15,15,1,0.1,0.3,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_4
711,bargaining,0.8,0.9,1000000,99,FALSE,FALSE,random,1,Simple Game C,15,15,2,0.1,0.3,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_0
736,bargaining,0.8,0.8,10000,99,TRUE,TRUE,variant,1,Simple Game C,25,12,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_1
737,bargaining,0.8,0.8,10000,99,TRUE,TRUE,variant,1,Simple Game C,25,12,2,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_2
