round_quality,product_worth,player,round,message,decision,next_round_prob
,,Alice,15,"Hi Bob, I'm excited to offer you another high-quality product that has undergone rigorous inspection to ensure exceptional performance and durability. At $10000, this unit delivers the premium reliability you expect, making it an excellent investment. Let me know if you'd like to proceed with securing this outstanding product for your collection!",,
,,Bob,15,,yes,0.8
high-quality,20000.0,Nature,16,,,
,,Alice,16,"Hi Bob, I'm proud to offer you another product that exemplifies the highest standards in both performance and durability. Rigorously evaluated to guarantee top-notch reliability, this unit continues our tradition of excellence at the $10000 price point. If you're ready to add another exceptional asset to your portfolio, let's make this one yours!",,
,,Bob,16,,yes,0.8
high-quality,20000.0,Nature,17,,,
,,Alice,17,"Hi Bob, I'm delighted to present you with another high-quality product that has been thoroughly inspected for superior craftsmanship and durability. This unit meets the highest standards and continues our tradition of excellence. At $10000, it's an investment in reliability and performance that will undoubtedly fit well into your collection. Let me know if you're ready to secure this exceptional asset!",,
,,Bob,17,,yes,0.8
high-quality,20000.0,Nature,18,,,
,,Alice,18,"Hi Bob, I'm excited to present you with another high-quality product that has passed our rigorous inspections for exceptional performance and durability. At the $10000 price point, this unit promises reliability and superior craftsmanship—perfect for your collection. If you're ready to secure this impressive asset, just let me know!",,
,,Bob,18,,yes,0.8
high-quality,20000.0,Nature,19,,,
,,Alice,19,"Hi Bob, I'm pleased to offer you another high-quality product that's been rigorously inspected for excellence in performance and durability. This unit, priced at $10000, is a standout investment with superior craftsmanship and reliability. If you're ready to add this exceptional asset to your collection, just let me know!",,
,,Bob,19,,yes,0.8
high-quality,20000.0,Nature,20,,,
,,Alice,20,"Hi Bob, I'm thrilled to present the final round with another high-quality product. After rigorous inspection, this unit has proven its exceptional performance and longstanding durability—a true asset at $10000. I believe it will be a perfect fit for your high-standard collection. Let me know if you're ready to finalize this excellent investment!",,
,,Bob,20,,yes,0.8
